Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Latitude,Longitude
The Urban Gully,"North Indian, Chinese, Beverages, Fast Food, Street Food",500," HSR, Bangalore",4,12.90768241,77.64454097
B2H - Biryani 2 Home,"Biryani, Mughlai, North Indian, Chinese, Kebab",400," JP Nagar, Bangalore",4,12.89929517,77.58578382
Five Star Chicken,Fast Food,300," JP Nagar, Bangalore",4,12.90112566,77.5899845
Writer's Cafe,"Cafe, Fast Food, Beverages",600," Kalyan Nagar, Bangalore",4,13.021792,77.640584
Kothanur Kitchen 2.O,South Indian,400," Hennur, Bangalore",4,13.033258,77.657148
The Punjabi Bites,"North Indian, Chinese",300," Old Airport Road, Bangalore",4,12.9545097,77.65287828
Snow Lion Tibet Kitchen,"Tibetan, Asian, Thai, Chinese, Momos",400," New BEL Road, Bangalore",4,13.03024826,77.56919503
Sorse,"Bengali, Seafood, Street Food, Beverages, Desserts",750," Whitefield, Bangalore",4,12.95851391,77.74643037
The Beer Cafe,"Finger Food, North Indian, Italian",1500," Orion Mall, Malleshwaram, Bangalore",4,13.01160244,77.55589563
The Studio Bar,"Italian, American, North Indian",1600," Orion Mall, Malleshwaram, Bangalore",4,13.01064628,77.55495451
AJ-125,"North Indian, Chinese, Beverages",700," Marathahalli, Bangalore",4,12.9361964,77.70386875
Maria Taste Circle,"South Indian, North Indian, Chinese, Seafood, Kerala",600," Marathahalli, Bangalore",4,12.95838354,77.69983202
Sagar,"North Indian, Street Food, Fast Food",600," Seshadripuram, Bangalore",4,12.98835796,77.57724166
99 Pancakes,"Desserts, Italian, Beverages",300," Church Street, Bangalore",4,12.97473459,77.60590643
Hotel Kandhasamy,"Seafood, Biryani, South Indian, Chettinad",900," Kalyan Nagar, Bangalore",4,13.024228,77.639899
Gowdru Hotel,"Biryani, South Indian",250," Vijay Nagar, Bangalore",4,12.96951459,77.53451005
Sangam Sweets,"Mithai, Street Food, Fast Food, Beverages",300," Yelahanka, Bangalore",4,13.09845435,77.5732388
Wok With Chung,"Chinese, Thai, Seafood",1000," Marathahalli, Bangalore",4,12.95652341,77.71088373
