index_right,restaurant_count,avg_pricing,avg_rating,categories
80.0,41.0,445.1219512195122,3.658536585365854,"South Indian, Street Food, Ice Cream, Desserts, Beverages, Chinese, North Indian, Thai, Mughlai, Fast Food, Seafood, Rolls, Biryani, South Indian, North Indian, Chinese, Continental, Desserts, Beverages, Finger Food, North Indian, Chinese, Italian, South Indian, Fast Food, Desserts, Beverages, North Indian, Chinese, Continental, Mangalorean, Mughlai, Desserts, Beverages, Ice Cream, Chinese, North Indian, Fast Food, Beverages, Sandwich, Pizza, Fast Food, Bakery, Desserts, Beverages, Pizza, Pasta, Chettinad, South Indian, Chinese, Mughlai, Biryani, Andhra, South Indian, North Indian, Street Food, Chinese, Beverages, North Indian, Chinese, Konkan, Seafood, Rolls, Mughlai, North Indian, Chinese, Mangalorean, Seafood, Mughlai, South Indian, Chinese, North Indian, Seafood, Cafe, Italian, Continental, Healthy Food, Fast Food, Beverages, Desserts, Fast Food, Ice Cream, Desserts, Beverages, Rolls, Chinese, North Indian, South Indian, Andhra, South Indian, North Indian, Chinese, South Indian, North Indian, Chinese, Street Food, Beverages, Fast Food, North Indian, North Indian, Chinese, South Indian, North Indian, Chinese, Mangalorean, Konkan, Biryani, Chinese, North Indian, Chinese, Malwani, Seafood, North Indian, Maharashtrian, Chinese, Fast Food, Desserts, Beverages, Sandwich, Pizza, Burger, Rolls, Ice Cream, South Indian, Biryani, Chinese, Momos, Fast Food, Desserts, Beverages, South Indian, Kerala, Chinese, Mithai"
81.0,41.0,452.4390243902439,3.775609756097561,"Bar Food, Chinese, Fast Food, North Indian, Italian, Beverages, BBQ, North Indian, Mughlai, Chinese, Arabian, Biryani, Beverages, Desserts, South Indian, Biryani, South Indian, North Indian, Biryani, Fast Food, Chinese, Continental, Desserts, South Indian, North Indian, Mughlai, Arabian, South Indian, Chinese, Mangalorean, Chinese, North Indian, North Indian, Chinese, Biryani, Fast Food, Beverages, Chinese, North Indian, Fast Food, Momos, Desserts, Juices, Beverages, Chinese, South Indian, Rolls, Lebanese, Fast Food, North Indian, Fast Food, Mughlai, North Indian, Chinese, Mughlai, North Indian, South Indian, North Indian, Street Food, Chinese, Salad, Mithai, Beverages, Biryani, Seafood, South Indian, Chinese, Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Beverages, Desserts, Street Food, Chinese, Italian, North Indian, Bar Food, Beverages, Ice Cream, Fast Food, South Indian, North Indian, Chinese, Continental, Fast Food, Chinese, Street Food, Beverages, South Indian, North Indian, North Indian, Chinese, South Indian, Ice Cream, Desserts, Juices, Beverages, Biryani, Ice Cream, Fast Food, Sandwich, Beverages, Juices, Fast Food, Desserts, North Indian, Chinese, Mughlai, Desserts, Beverages, Fast Food, Sandwich, Pizza, Chinese, Beverages, North Indian, Chinese, Mangalorean, North Indian, Chinese, Biryani, Seafood, South Indian, Street Food, Bakery, Fast Food, Desserts, Fast Food, Chinese, Beverages"
82.0,16.0,909.375,3.6999999999999997,"Mediterranean, South Indian, North Indian, Chinese, North Indian, Italian, American, Desserts, Beverages, Bengali, North Indian, Chinese, Finger Food, Seafood, Chinese, North Indian, Lebanese, Mediterranean, Italian, North Indian, Fast Food, Chinese, Seafood, Chettinad, Kerala, Seafood, Salad, Fast Food, Beverages, North Indian, Chinese, Chinese, Japanese, Biryani, Fast Food, North Indian, Chinese, Biryani, Konkan, Beverages, Desserts, Andhra, Finger Food, North Indian, Chinese, Mughlai, Biryani, Seafood, Beverages, North Indian, Maharashtrian, Chinese"
83.0,3.0,366.6666666666667,3.533333333333333,"Momos, Fast Food, Fast Food, Street Food, Beverages, Ice Cream"
84.0,5.0,310.0,3.5200000000000005,"Bakery, Desserts, Fast Food, Street Food, Fast Food, North Indian, Chinese, Fast Food, Street Food, Beverages, Rolls, Beverages, Fast Food, Ice Cream, Cafe, Italian, Fast Food"
85.0,1.0,300.0,3.5,"South Indian, North Indian"
86.0,4.0,425.0,3.65,"Biryani, North Indian, Chinese, Biryani, South Indian, North Indian, Chinese, Biryani, Mughlai"
87.0,0.0,,,
88.0,0.0,,,
89.0,0.0,,,
90.0,0.0,,,
91.0,0.0,,,
92.0,3.0,316.6666666666667,3.5666666666666664,"Biryani, South Indian, North Indian, Andhra, Chinese, South Indian, Chinese"
